15655	FA 18:2;OOH	FA 18:2(9Z,11E);13OOH				
15658	FA 18:2;(OH)2	WE 18:2(9Z,12Z);7OH,8OH/0:0	FA 18:2(9Z,12Z);7OH,8OH			
15662	FOH 8:2(1,6);(Me)2;OH					
15675	FOH 2:0;1Me;0NH2	FOH 3:0;1NH2				
15683	WE 18:0;10OH/0:0					
15699	FA 4:0;2NH2;4OH					
15720	WE 18:1(15);[cy5:0;oxo]/0:0	WE 18:1(15Z);[9-13cy5:0;12oxo]/0:0				
15725	HC 3:0;1NH2,3NH2					
15729	WE 5:0;2NH2,5NH2/0:0	FA 5:0;2NH2,5NH2				
15739	HC 3:0;2NH2					
15743	FAL 4:0					
15753	FA 5:0;COOH;2oxo					
15756	WE 16:0/0:0	FA 10:0;1(6:0)	FA 16:0			
15757	WE 5:0;4NH2;5oxo/0:0	FA 5:0;4NH2;5oxo				
15799	LPA 16:0/0:0					
15825	FAL 4:1(2);Me					
15830	FA 9:0;8NH2;7oxo					
15833	FOH 7:1(5);Me					
15837	HC 4:0;3Me;1OH	FOH 4:0;3Me	FOH 1:0;3(3:0;2Me)			
15843	FA 20:4(5Z,8Z,11Z,14Z)					
15861	HC 11:0;[7-11cy5:0;7Me;8My];1Me,4Me					
15862	HC 2:0;1NH2					
15885	FA 5:1(4);Cl;NH2					
15887	FA 5:0;5NH2	WE 5:0;5NH2/0:0				
15888	FA 6:0;5oxo	WE 6:0;5oxo/0:0				
15894	FAL 12:3(2,6,10);(Me)3					
15914	WE 5:0;2NH2;4oxo/0:0	FA 5:0;2NH2;4oxo				
15948	HC 32:13(2,6,8,10,12,14,16,18,20,22,24,26,30);(Me)8					
15963	FOH 5:0;2OH,3OH,4OH,5OH					
15966	FA 4:0;COOH;2NH2					
15971	H					
15975	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
15977	HC 6:0;[1-6cy6:0;3oxo]					
15997	HC 3:0;2Me;1NH2					
16000	FOH 2:0;2NH2	HC 2:0;1NH2;2OH				
16011	FOH 6:0;2Et					
16015	FA 4:0;COOH;2NH2					
16016	FA 22:6(4Z,7Z,10Z,13Z,16Z,19Z)					
16019	FOH 4:1(2);Me					
16036	WE 2:0/6:0;3OH					
16037	HC 3:0;2NO2					
16052	HC 3:0	HC 3:1(1)				
16053	FOH 8:0;[1-6cy6:0;3Me];7Me;7OH					
16055	FAL 6:0;2OH,3OH,4OH,5OH					
16066	FAL 15:4(2E,4Z,6E,8E);[10-15cy6:1(10);11Me,15Me,15Me];3Me,7Me					
16080	FA 4:0;4NH2;3OH					
16109	HC 3:0;1OH,3OH	FOH 3:0;3OH				
16113	ST 27:1;O					
16120	WE 5:0;5oxo/0:0					
16125	FOH 16:0	FOH 1:0;15(15:0)				
16133	FOH 5:0;[1-5cy5:0]					
16135	FA 3:0;2Me	WE 3:0;2Me/0:0				
16136	H2S					
16148	HC 17:0					
16181	FOH 6:0;[1-6cy6:0;6NH2;2OH,3OH,4OH,5OH]					
16182	FAL 4:0;2Me					
16188	HC 8:0;1OH	FOH 8:0				
16196	FA 18:1(9)	FA 18:1	FA 18:1(9Z)			
16199	1728					
16208	FA 3:0;2oxo;3SH					
16230	WE 5:0;5OH/0:0					
16236	FOH 2:0	HC 2:0;1OH				
16256	WE 3:0;2Me;3oxo/0:0					
16265	WE 4:0;4oxo/0:0					
16268	HC 2:0;1NO2					
16285	FA 16:0;3Me,7Me,11Me,15Me					
16320	WE 3:0;2Me;3NH2/0:0					
16348	FA 3:0;3NO2					
16375	FA 3:0;2NH2;3SH					
16393	FOH 18:1(4);NH2;OH	SPB 18:1;O2	FOH 18:1(4E);2NH2;3OH	SPB 18:0;3OH		
16398	FA 4:0;2NH2;3OH					
16414	FA 4:0;3Me;2NH2					
16449	FA 3:0;2NH2	FA 18:3(9Z,12Z,15Z)				
16508	FA 5:2(2Z,4Z);COOH	FA 5:2(2,4);COOH				
16510	WE 3:0;3OH/0:0					
16513	FA 2:0;COOH;2OH					
16521	ST 30:2;O					
16523	FA 3:0;2NH2;3OH					
16530	FA 4:0;3Me;2oxo	WE 4:0;3Me;2oxo/0:0				
16566	SPB 18:0;1OH,3OH	HC 18:0;2NH2;1OH,3OH	FOH 18:0;2NH2;3OH			
16583	HC 4:0;2oxo,3oxo					
16586	FA 6:0;6NH2					
16600	FA 3:1(2);COOH;Me					
16605	HC 3:0;3OH	FOH 3:1(2)				
16619	FOH 12:3(2,6,10);(Me)3					
16638	FAL 4:0;3Me					
16641	WE 2:0/6:0;3OH					
16716	HC 6:3;[1-6cy6:0]					
16724	WE 4:0;4OH/0:0					
16763	WE 4:0;2oxo/0:0					
16774	FOH 12:3(2,6,10);(Me)3					
16812	FOH 4:0;3OH					
16813	FOH 6:0;2OH,3OH,4OH,5OH,6OH					
16831	FA 4:0;COOH;3Me;3OH					
16833	HC 32:12(2,6,8,10,12,14,16,18,20,22,26,30);(Me)8					
16852	WE 9:0;[4-9cy6:2(4,8);6oxo,7oxo];2NH2/0:0					
16855	FA 6:0;2NH2,6NH2					
16857	FA 4:0;2NH2;3OH					
16865	FA 4:0;4NH2					
16886	FA 5:2(2,4);COOH;NH2					
16893	SPBP(1) 18:0;3OH					
16899	FOH 6:0;2OH,3OH,4OH,5OH,6OH					
16926	WE 6:0;2NH2,5NH2/0:0					
16933	ST 28:3;O					
16958	FA 3:0;3NH2					
16977	FA 3:0;2NH2					
16978	LTC4					
16982	FOH 4:0;3OH					
16992	WE 3:0;2OH;3oxo/0:0					
16995	FA 1:0;COOH	FA 1:0;1COOH				
16997	HC 3:0;1OH,2OH	FOH 3:0;2OH				
17023	FA 5:0;COOH;2OH					
17034	FAL 18:0					
17053	FA 3:0;COOH;2NH2					
17061	FA 5:0;2NH2,5NH2;5oxo					
17066	FA 4:0;3OH					
17115	FA 3:0;2NH2;3OH					
17117	WE 6:0;4OH,5OH;2oxo,6oxo/0:0					
17118	FAL 6:0;2OH,3OH,4OH,5OH,6OH					
17120	WE 6:0/0:0					
17141	HC 2:0;1NH2;2SH					
17148	HC 4:0;1NH2,4NH2					
17151	FOH 5:0;2OH,3OH,4OH,5OH					
17153	FAL 3:0					
17158	FAL 3:0;2oxo					
17162	WE 18:0;2oxo/0:0					
17191	FA 5:0;3Me;2NH2					
17196	FA 4:0;2NH2,4NH2;4oxo					
17204	WE 5:0;4oxo,5oxo/0:0					
17217	WE 4:1(2)/0:0	FA 4:1(2)				
17221	HC 8:2(1,6);Me;My					
17268	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH,6OH]	HC 6:0;[1-6cy6:0;1OH,2OH,3OH,4OH,5OH,6OH]				
17272	WE 3:0/0:0					
17290	FA 4:0;3OH					
17302	FAL 15:0					
17308	WE 6:0;2oxo/0:0	FA 6:0;2oxo				
17314	WE 22:0;13OH/0:0	FA 22:0;13OH				
17327	FOH 16:1(2E);3Me,7Me,11Me,15Me					
17336	FOH 15:4(2E,4E,6E,8E);[10-15cy6:1(10);11Me,15Me,15Me];3Me,7Me					
17351	FA 18:2(9,12)	FA 18:2(9Z,12Z)				
17364	FA 3:0;COOH;2NH2					
17365	FA 5:2(2,4);Cl2;COOH					
17367	FA 8:2(2,4);COOH;OH;oxo					
17409	FA 10:0;10OH	WE 10:0;10OH/0:0				
17415	WE 5:0;2oxo,5oxo/0:0					
17418	WE 5:0/0:0	FA 5:0				
17447	FOH 8:2(2,6);(Me)2					
17456	FOH 4:0;3OH;1SH,4SH					
17459	FOH 6:0;2OH,3OH,4OH,5OH,6OH					
17497	FA 2:0;2OH					
17534	WE 6:0;6NH2;2oxo/0:0					
17539	WE 18:2(9Z,11E)/0:0					
17546	FAL 6:2(2,5);(2:0;Me);Me					
17549	FA 18:3(9Z,12Z,15Z)	WE 5:0;5NH2;4oxo/0:0				
17561	FA 3:0;2NH2;3SH					
17572	WE 5:0;5NH2;2oxo/0:0	FA 5:0;5NH2;2oxo				
17580	FOH 8:2(1,6);(Me)2	FOH 8:2(2,7);(Me)2				
17585	FAL 16:1(2E)	FAL 16:1(2)				
17590	HC 8:0					
17600	FAL 16:0					
17616	WE 15:4(2E,4E,6E,8E);[10-15cy6:1(10);11Me,15Me,15Me];3Me,7Me/16:0					
17626	FA 3:1(2);COOH;Me					
17646	WE 5:0;3Me;3OH;5oxo/0:0					
17655	WE 5:0;4OH;2oxo/0:0					
17667	FA 4:0;3Me;3OH;2oxo	WE 4:0;3Me;3OH;2oxo/0:0				
17710	FA 5:0;3Me;3OH,5OH					
17737	ST 27:2;O					
17754	HC 3:0;1OH,2OH,3OH					
17769	FAL 4:0;4NH2					
17822	FA 3:0;2NH2;3OH					
17824	HC 3:0;2OH	FOH 3:0	FOH 2:0;1Me			
17844	WE 4:0;2NH2;3oxo/0:0					
17859	FA 4:0;COOH					
17865	WE 5:0;4Me;2oxo/0:0					
17869	FA 6:0;6OH	WE 6:0;6OH/0:0	FOH 5:0;5COOH			
17871	FAL 3:0;3OH					
17917	FA 6:0;2NH2;6oxo	WE 6:0;2NH2;6oxo/0:0				
17924	FOH 6:0;2OH,3OH,4OH,5OH,6OH					
17935	FAL 8:0					
17968	WE 4:0/0:0					
17998	FAL 5:0;4Me					
18012	FA 3:1(2);COOH	FA 3:1(2E);COOH				
18019	FA 6:0;2NH2,6NH2					
18037	FA 12:0;3oxo	WE 12:0;3oxo/0:0				
18047	FA 18:2(9,12);(OH)2	FA 8:0;6SH,8SH				
18050	FA 5:0;2NH2,5NH2;5oxo					
18051	FA 4:0;2NH2;4oxo					
18064	FA 3:0;2Me;3OH					
18090	FAL 3:0;3NH2					
18099	FOH 6:0;[1-6cy6:0]					
18119	WE 2:0/6:0;3oxo					
18127	HC 5:0;1NH2,5NH2					
18153	HC 2:0					
18173	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
18188	WE 3:0;2Me;3NH2/0:0					
18202	FOH 6:0;2OH,3OH,4OH,5OH,6OH					
18257	FA 5:0;2NH2,5NH2					
18262	WE 12:0/0:0					
18266	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
18276	H2					
18292	WE 12:1(9);[cy5:0;oxo]/0:0					
18300	FA 3:1(2);COOH	FA 3:0;COOH				
18301	FA 6:2(2Z,4E);4OH;6oxo					
18308	FA 3:1(2)	WE 3:0/0:0	FA 3:0			
18314	FA 5:0;2NH2					
18322	WE 6:0;6oxo/0:0					
18347	FA 6:0;2NH2					
18355	FA 5:2(2,4);OH					
18383	WE 3:0;2NH2,3NH2/0:0	FA 3:0;2NH2,3NH2				
18391	WE 6:0;2OH,3OH,4OH,5OH,6OH/0:0					
18409	WE 4:0;2Me;2OH;3oxo/0:0					
18419	FAL 3:0;2OH					
18427	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
18917	FOH 3:0;1Cl,3Cl	FOH 2:0;0Cl,2Cl;1Me	HC 3:0;1Cl,3Cl;2OH			
19030	FOH 2:0;1Me;2NH2					
25629	WE 18:0/0:0					
27372	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH,6OH]					
27374	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH,6OH]					
27389	WE 3:0;2Me;3NH2/0:0					
27401	WE 5:0;3oxo/0:0	FA 5:0;3oxo				
27402	CoA 16:0;3OH					
27432	FA 18:3(9Z,12Z,15Z)	FA 18:3(9,12,15)				
27455	WE 5:0;2Cl,2Cl,2Cl/0:0					
27466	CoA 14:0;3OH					
27477	FA 4:0;3Me;2NH2					
27485	FA 20:2(5Z,13E);[8-12cy5:1;11oxo];15OH					
27530	WE 6:0;4OH;2oxo/0:0	FA 6:0;4OH;2oxo				
27537	CoA 8:1(2E)					
27540	CoA 6:0					
27542	WE 1:0/18:1(9)					
27561	HC 2:0;1Ep					
27562	20-carboxy-LTB4					
27578	FA 4:0;4CN;2NH2					
27595	FA 20:2(5Z,13E);[8-12cy5:0;9OH,11OH];15OH					
27640	FOH 31:0					
27642	HC 3:0;2Me;2OMe					
27647	PGG2					
27648	CoA 6:0;3oxo					
27668	CoA 12:0;3OH					
27689	WE 10:0/0:0					
27693	ST 29:1;O					
27696	FA 20:1(13E);[8-12cy5:0;9OH;11oxo];15OH					
27706	FA 18:1(9);12Ep					
27713	WE 6:0;5NH2;3oxo/0:0					
27721	CoA 14:1(2E)					
27730	FA 5:0;3Me;2NH2					
27750	HC 2:0;1O(FA 2:0)	WE 2:0/2:0				
27754	CoA 3:1(2);Me					
27762	CoA 3:0;3OH					
27765	WE 5:0;3Me;3OH;2oxo/0:0					
27770	CoA 9:0					
27781	FA 14:1(9Z)	FA 14:1(9)				
27787	HC 32:9(2,6,10,14,16,18,22,26,30);(Me)8					
27789	HC 2:0;1Cl,2Cl					
27814	FA 20:4(6Z,8E,10E,14Z);5OH;12oxo					
27836	FAL 12:0					
27868	CoA 12:0;3oxo					
27869	FA 2:0;2Cl					
27871	FAL 2:0;2Cl					
27939	FA 18:0;[14-18cy5:1(15)]					
27951	WE 4:0;3OH;2oxo;4Ph/0:0					
27956	FA 20:4(5,8,11,14);(OH)2					
27962	CoA 5:1(2)					
27971	FA 3:0;2Me;2NH2	WE 3:0;2Me;2NH2/0:0				
27975	FAL 3:0;2OH,3OH					
27979	CoA 20:3(8Z,11Z,14Z)	CoA 20:3(8,11,14)				
27987	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH,6OH]					
27989	CoA 12:1(3Z)					
27997	FA 18:1(9)	FA 18:1(9E)				
28027	WE 6:2(2E,4Z);5Me;2OH;6oxo/0:0					
28028	FA 6:0;6OH;2oxo					
28031	FA 20:3(5Z,13E,17Z);[8-12cy5:0;11OH;9oxo];15OH					
28068	HC 32:11(2,6,10,12,14,16,18,20,22,26,30);(Me)8					
28094	FOH 2:0;2Cl,2Cl,2Cl					
28095	FA 5:0;COOH;2NH2;3oxo					
28099	PGB2					
28107	WE 5:0;3COOH;4Me;3OH/0:0					
28125	FA 22:6(4Z,7Z,10Z,13Z,16Z,19Z)	FA 22:6(4,7,10,13,16,19)	FA 22:6			
28129	HC 32:10(2,6,10,12,14,16,18,22,26,30);(Me)8					
28142	HC 2:0;1Cl,1Cl,1Cl;2OH,2OH					
28158	FA 20:1(13E);[8-12cy5:0;9OH,11OH];15OH;6oxo					
28159	FA 4:0;2NH2,4NH2;4oxo					
28194	FA 18:1(6)	FA 18:1(6Z)				
28200	FOH 2:0;2Cl					
28209	FA 20:4(6E,8Z,11Z,14Z);5OH	WE 20:4;5OH/0:0	FA 20:4;OH	FA 20:4;5OH		
28225	FA 5:0;4Me;2NH2					
28243	FOH 28:0					
28245	FA 6:0;COOH;2NH2;6oxo					
28249	FA 5:2(2E,4Z);5COOH;5Me;2OH	FA 5:2(2E,4Z);COOH;5Me;2OH				
28264	CoA 8:0;3oxo					
28269	FA 20:1(13E);[8-12cy5:0;11OH;9oxo];15OH;6oxo					
28276	CoA 6:0;3OH	CoA 6:0;0OH				
28286	HC 6:0;[1-6cy6:0;1oxo,4oxo]					
28291	CoA 4:0;3Me;3OH					
28300	FA 5:0;2NH2,5NH2;5oxo					
28310	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
28317	CoA 4:0;3NH2					
28325	CoA 10:0;3OH	CoA 10:0;0OH				
28340	WE 4:0;2NH2/0:0					
28364	FA 20:5	FA 20:5(5,8,11,14,17)	WE 20:5(5Z,8Z,11Z,14Z,17Z)/0:0	FA 20:5(5Z,8Z,11Z,14Z,17Z)		
28367	FA 20:4(7E,9E,11Z,14Z);4Ep	4,5-LTA4				
28379	WE 5:0;3Me;2oxo/0:0	FA 5:0;3Me;2oxo				
28388	FA 3:0;2NH2;3Ph					
28394	FA 3:1(2);COOH;OH					
28409	FOH 30:0					
28415	FOH 26:0	HC 26:0;1OH				
28422	FA 6:0;3oxo	WE 6:0;3oxo/0:0				
28468	LPC 16:0/0:0					
28474	FA 4:0;4CN;4NH2					
28484	FA 4:0;3Me					
28489	FA 5:1(2);Cl;COOH;oxo					
28493	CoA 10:0					
28522	CoA 4:0;4OH					
28528	CoA 10:0;3oxo					
28534	HC 2:0;1Br,2Br					
28548	FOH 6:0;[1-6cy6:0;2OH,3OH,4OH,5OH;6OMe]					
28562	CoA 12:3(2,6,10);(Me)3					
28580	FA 3:0;2OH;3SH					
28587	FAL 4:0;2OH,3OH,4OH					
28592	FA 18:1(9);OH					
28600	FOH 12:3(2,6,10);(Me)3					
28610	LPC 18:1(9Z)/0:0	LPC 18:1	PC 18:1(9Z)/0:0			
28623	ST 28:1;O					
28627	FOH 12:3(3,6,9)					
28632	CoA 8:0;3OH	CoA 8:0;0OH				
28635	FA 3:0;2(2:0;1Me);COOH;2OH	FA 5:0;3COOH;4Me;3OH				
28638	HC 3:0;2CN	HC 2:0;1CN;1Me				
28644	WE 5:0;2oxo/0:0					
28654	WE 5:0;3Me;2oxo/0:0					
28661	FA 18:3(6Z,9Z,12Z)	FA 18:3(6,9,12)				
28666	LTD4					
28673	CoA 3:0;3oxo					
28689	FA 22:6(4Z,7Z,10Z,13Z,16Z,19Z)					
28706	CoA 6:1(2E)					
28707	WE 2:0/4:0;3OH					
28710	FA 5:0;3Me;3OH;2oxo	WE 5:0;3Me;3OH;2oxo/0:0				
28716	FA 16:1(9Z)	FA 16:1(9)				
28718	FA 4:0;2NH2;3OH					
28726	CoA 14:0;3oxo					
28727	FA 18:1(11)	FA 18:1(11E)				
28728	FA 20:2(5Z,13E);[8-12cy5:0;9OH,11OH;11oxy];15OH					
